Name,Count
Blink,8
DynamicPPL,8
MCMCDiagnosticTools,8
LinearOperators,8
DBInterface,8
BangBang,8
ColorVectorSpace,8
OptimizationNLopt,8
VectorizationBase,8
ClimaCore,8
CoordRefSystems,8
QuantumControl,8
DiffResults,8
ParameterizedFunctions,8
LightGraphs,8
Tullio,8
GLFW,8
DataAPI,8
Example,8
Cubature,8
Zarr,7
SuiteSparse,7
Triangulate,7
MethodOfLines,7
Pipe,7
MLDataDevices,7
BrokenRecord,7
TerminalLoggers,7
Quadmath,7
Strided,7
Crayons,7
AdvancedHMC,7
SimpleWeightedGraphs,7
OptimizationBBO,7
QuantumLattices,7
Formatting,7
DelayEmbeddings,7
LazyArrays,7
ImageMetadata,7
PowerNetworkMatrices,7
Hypatia,7
RestrictedBoltzmannMachines,7
TypedPolynomials,7
Clp,7
Variography,7
SymbolicIndexingInterface,7
Metal,7
SparseDiffTools,7
LLVM,7
EllipsisNotation,7
TransformVariables,7
NLPModelsIpopt,7
NLSolversBase,7
StructEquality,7
Weave,7
MatrixDepot,7
DelayDiffEq,7
GPUArraysCore,7
ExampleJuggler,7
Latexify,7
NPZ,7
EvoTrees,7
CDDLib,7
WGLMakie,7
PlotlyBase,7
ProximalOperators,7
MixedModels,7
CpuId,7
NLopt,7
Rasters,7
WignerSymbols,7
BlockBandedMatrices,7
SemialgebraicSets,7
SCIP,7
PowerSimulations,7
TetGen,7
Primes,7
ExtendableGrids,7
MatrixMarket,6
DataDrop,6
QuantumPropagators,6
DynamicHMC,6
NaNMath,6
SparseConnectivityTracer,6
Shapefile,6
Unicode,6
GPUCompiler,6
LightXML,6
Polyester,6
DataFramesMeta,6
OrdinaryDiffEqVerner,6
OptimizationProblems,6
ControlSystemsBase,6
InfiniteArrays,6
AWSS3,6
p7zip_jll,6
Extents,6
TwoQubitWeylChamber,6
Interact,6
GRAPE,6
CodecZstd,6
Requires,6
Observables,6
QuantumGradientGenerators,6
HomotopyContinuation,6
UnitfulAngles,6
MLBase,6
DocInventories,6
Term,6
RootSolvers,6
CodecBzip2,6
IJulia,6
KaHyPar,6
Manifolds,6
OMEinsum,6
GenericSchur,6
ImageShow,6
SimpleMock,6
Git,6
Krotov,6
AtomsBaseTesting,6
DynamicQuantities,6
DiskArrays,6
ModernGL,6
GeoMakie,6
PackageCompiler,6
MappedArrays,6
AWS,6
NamedArrays,6
HydroPowerSimulations,6
EnzymeCore,6
ControlPlots,6
FASTX,6
IndirectArrays,6
Luxor,6
AlgebraicMultigrid,5
OrdinaryDiffEqSDIRK,5
InitialValues,5
Observers,5
RollingFunctions,5
MadNLP,5
Unfold,5
IrrationalConstants,5
OrdinaryDiffEqNonlinearSolve,5
UnfoldSim,5
DotEnv,5
BioAlignments,5
StorageSystemsSimulations,5
TaijaData,5
TableTraits,5
CSDP,5
CloudMicrophysics,5
Gmsh,5
AlgebraOfGraphics,5
ImageMorphology,5
CRC32c,5
Dierckx,5
QuantumOptics,5
MLJFlux,5
Manopt,5
NonconvexIpopt,5
BFloat16s,5
ThreadsX,5
WebIO,5
Faker,5
ApproxFun,5
ImageGeoms,5
Chairmarks,5
TerminalRegressionTests,5
FinEtools,5
SARSOP,5
MeshArrays,5
SplitApplyCombine,5
FMIZoo,5
SimpleTraits,5
Mocking,5
TermInterface,5
Tulip,5
MLJXGBoostInterface,5
DictArrays,5
InlineStrings,5
RectiGrids,5
StarAlgebras,5
Kronecker,5
SolverTest,5
SurfaceFluxes,5
ChunkSplitters,5
SimplexGridFactory,5
LatticeUtilities,5
YAXArrays,5
Random123,5
ERFA,5
FastTransforms,5
StanSample,5
Nemo,5
Intervals,5
AdvancedMH,5
ACSets,5
DuckDB,5
Arpack,5
RobotDynamics,5
TableTransforms,5
POMDPLinter,5
Wavelets,5
NLPModelsModifiers,5
CodecXz,5
SolverCore,5
LuxLib,5
DocumenterTools,5
FunctionWrappers,5
NarrativeTest,5
EnergyModelsInvestments,5
ProgressLogging,5
MKL,5
AbstractDifferentiation,5
NaNStatistics,5
LsqFit,5
Match,5
Mustache,5
QuantumOpticsBase,5
AtomsBuilder,5
FITSIO,5
ModiaResult,5
BetaML,5
QPSReader,5
PythonPlot,5
FilePathsBase,5
FlexiJoins,5
Folds,5
DensityInterface,5
SPICE,4
Referenceables,4
Nettle,4
GeoDataFrames,4
LazyBroadcast,4
Catalyst,4
OneHotArrays,4
StaticArraysCore,4
PlantGraphs,4
StaticArrayInterface,4
FLoops,4
CTBase,4
ValueHistories,4
ArgCheck,4
StaticNumbers,4
JSMDInterfaces,4
Cuba,4
Infinities,4
StyledStrings,4
GeometricIntegrators,4
SymbolicRegression,4
BioStructures,4
MLJTuning,4
DynamicalSystems,4
MakieCore,4
MATLAB,4
RecursiveFactorization,4
OutlierDetectionTest,4
Pigeons,4
LRUCache,4
MeasureBase,4
TaylorModels,4
TimeseriesSurrogates,4
Integrals,4
Bonito,4
PkgJogger,4
Memoize,4
CFTime,4
QuantumClifford,4
TupleTools,4
Sobol,4
Minio,4
ScikitLearn,4
CounterfactualExplanations,4
ResearchSoftwareMetadata,4
NamedGraphs,4
LuxCUDA,4
PowerModelsDistribution,4
ComputationalResources,4
GraphsFlows,4
PALEOmodel,4
POMDPSimulators,4
LibGEOS,4
Jute,4
QuasiMonteCarlo,4
POMDPModelTools,4
DiscreteValueIteration,4
Supposition,4
GaussianProcesses,4
XAIBase,4
AbstractAlgebra,4
LuxTestUtils,4
MultiFloats,4
